number,value,datetime_start,datetime_complete,duration,params_crossover_name,params_crossover_probability,params_elitism_rate,params_mutation_name,params_mutation_probability,params_selection_type,params_vehicle_construction,system_attrs_grid_id,system_attrs_search_space,state
92,1122.82,2026-06-02 21:20:31.879792,2026-06-02 21:20:36.538074,0 days 00:00:04.658282,CXCrossover,0.75,0.10,SwapMutation,0.10,binary_tournament,bellman_split,92,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
93,822.34,2026-06-02 21:20:36.538366,2026-06-02 21:20:51.567233,0 days 00:00:15.028867,PMXCrossover,0.85,0.20,InsertMutation,0.05,roulette_wheel,bellman_split,93,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
94,968.63,2026-06-02 21:20:51.567544,2026-06-02 21:21:07.519147,0 days 00:00:15.951603,CXCrossover,0.80,0.10,InsertMutation,0.05,roulette_wheel,bellman_split,94,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
95,1064.72,2026-06-02 21:21:07.519456,2026-06-02 21:21:19.012507,0 days 00:00:11.493051,PMXCrossover,0.75,0.20,SwapMutation,0.10,roulette_wheel,random,95,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
96,974.22,2026-06-02 21:21:19.012894,2026-06-02 21:21:21.043587,0 days 00:00:02.030693,OXCrossover,0.80,0.10,InsertMutation,0.10,binary_tournament,random,96,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
97,1204.80,2026-06-02 21:21:21.043886,2026-06-02 21:21:25.568570,0 days 00:00:04.524684,CXCrossover,0.75,0.10,SwapMutation,0.01,binary_tournament,bellman_split,97,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
98,889.33,2026-06-02 21:21:25.569024,2026-06-02 21:21:30.336742,0 days 00:00:04.767718,OXCrossover,0.80,0.10,InsertMutation,0.01,binary_tournament,bellman_split,98,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
99,930.71,2026-06-02 21:21:30.337169,2026-06-02 21:21:34.861227,0 days 00:00:04.524058,PMXCrossover,0.75,0.10,SwapMutation,0.10,binary_tournament,bellman_split,99,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
100,832.21,2026-06-02 21:21:34.861527,2026-06-02 21:21:40.227692,0 days 00:00:05.366165,OXCrossover,0.90,0.10,InsertMutation,0.05,binary_tournament,bellman_split,100,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
101,1128.93,2026-06-02 21:21:40.228067,2026-06-02 21:21:53.196579,0 days 00:00:12.968512,CXCrossover,0.80,0.10,SwapMutation,0.10,roulette_wheel,random,101,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
102,927.31,2026-06-02 21:21:53.196858,2026-06-02 21:22:06.091354,0 days 00:00:12.894496,OXCrossover,0.75,0.10,InsertMutation,0.05,roulette_wheel,random,102,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
103,980.59,2026-06-02 21:22:06.091667,2026-06-02 21:22:17.832536,0 days 00:00:11.740869,CXCrossover,0.80,0.20,SwapMutation,0.05,roulette_wheel,random,103,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
104,966.42,2026-06-02 21:22:17.832840,2026-06-02 21:22:34.244735,0 days 00:00:16.411895,CXCrossover,0.85,0.10,InsertMutation,0.10,roulette_wheel,bellman_split,104,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
105,1002.82,2026-06-02 21:22:34.245023,2026-06-02 21:22:39.035652,0 days 00:00:04.790629,CXCrossover,0.80,0.10,SwapMutation,0.10,binary_tournament,bellman_split,105,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
106,887.91,2026-06-02 21:22:39.035963,2026-06-02 21:22:52.073932,0 days 00:00:13.037969,OXCrossover,0.85,0.10,SwapMutation,0.01,roulette_wheel,random,106,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
107,951.73,2026-06-02 21:22:52.074264,2026-06-02 21:23:05.238705,0 days 00:00:13.164441,OXCrossover,0.80,0.10,InsertMutation,0.01,roulette_wheel,random,107,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
108,1194.43,2026-06-02 21:23:05.239022,2026-06-02 21:23:10.257581,0 days 00:00:05.018559,CXCrossover,0.85,0.10,SwapMutation,0.01,binary_tournament,bellman_split,108,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
109,943.67,2026-06-02 21:23:10.258104,2026-06-02 21:23:25.851957,0 days 00:00:15.593853,PMXCrossover,0.80,0.10,SwapMutation,0.10,roulette_wheel,bellman_split,109,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
110,846.84,2026-06-02 21:23:25.852266,2026-06-02 21:23:27.807837,0 days 00:00:01.955571,OXCrossover,0.85,0.20,InsertMutation,0.05,binary_tournament,random,110,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
111,1010.87,2026-06-02 21:23:27.808128,2026-06-02 21:23:40.822952,0 days 00:00:13.014824,PMXCrossover,0.85,0.10,InsertMutation,0.05,roulette_wheel,random,111,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
112,1096.95,2026-06-02 21:23:40.823336,2026-06-02 21:23:55.126871,0 days 00:00:14.303535,CXCrossover,0.80,0.20,SwapMutation,0.05,roulette_wheel,bellman_split,112,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
113,1000.88,2026-06-02 21:23:55.127191,2026-06-02 21:23:56.732319,0 days 00:00:01.605128,PMXCrossover,0.85,0.10,SwapMutation,0.01,binary_tournament,random,113,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
114,806.26,2026-06-02 21:23:56.732633,2026-06-02 21:24:01.121698,0 days 00:00:04.389065,OXCrossover,0.75,0.10,SwapMutation,0.01,binary_tournament,bellman_split,114,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
115,1003.93,2026-06-02 21:24:01.122005,2026-06-02 21:24:05.349751,0 days 00:00:04.227746,PMXCrossover,0.80,0.20,SwapMutation,0.01,binary_tournament,bellman_split,115,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
116,890.79,2026-06-02 21:24:05.350044,2026-06-02 21:24:17.202719,0 days 00:00:11.852675,OXCrossover,0.75,0.20,SwapMutation,0.05,roulette_wheel,random,116,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
117,1024.88,2026-06-02 21:24:17.203019,2026-06-02 21:24:28.720937,0 days 00:00:11.517918,PMXCrossover,0.85,0.20,InsertMutation,0.01,roulette_wheel,random,117,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
118,801.45,2026-06-02 21:24:28.721257,2026-06-02 21:24:33.520491,0 days 00:00:04.799234,OXCrossover,0.85,0.20,SwapMutation,0.10,binary_tournament,bellman_split,118,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
119,929.05,2026-06-02 21:24:33.520771,2026-06-02 21:24:46.644261,0 days 00:00:13.123490,PMXCrossover,0.85,0.10,SwapMutation,0.10,roulette_wheel,random,119,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
120,1113.24,2026-06-02 21:24:46.644580,2026-06-02 21:24:59.723130,0 days 00:00:13.078550,CXCrossover,0.85,0.10,InsertMutation,0.10,roulette_wheel,random,120,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
121,1030.62,2026-06-02 21:24:59.723437,2026-06-02 21:25:04.313103,0 days 00:00:04.589666,CXCrossover,0.80,0.10,InsertMutation,0.05,binary_tournament,bellman_split,121,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
122,1028.37,2026-06-02 21:25:04.313408,2026-06-02 21:25:18.947750,0 days 00:00:14.634342,CXCrossover,0.85,0.20,InsertMutation,0.05,roulette_wheel,bellman_split,122,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
123,1241.86,2026-06-02 21:25:18.948058,2026-06-02 21:25:20.947180,0 days 00:00:01.999122,CXCrossover,0.90,0.10,InsertMutation,0.01,binary_tournament,random,123,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
124,946.76,2026-06-02 21:25:20.947908,2026-06-02 21:25:22.963637,0 days 00:00:02.015729,OXCrossover,0.75,0.20,SwapMutation,0.10,binary_tournament,random,124,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
125,865.93,2026-06-02 21:25:22.963930,2026-06-02 21:25:38.057988,0 days 00:00:15.094058,PMXCrossover,0.90,0.20,InsertMutation,0.10,roulette_wheel,bellman_split,125,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
126,927.52,2026-06-02 21:25:38.058342,2026-06-02 21:25:50.434550,0 days 00:00:12.376208,OXCrossover,0.90,0.20,InsertMutation,0.10,roulette_wheel,random,126,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
127,1183.50,2026-06-02 21:25:50.434859,2026-06-02 21:25:52.315586,0 days 00:00:01.880727,CXCrossover,0.80,0.10,InsertMutation,0.01,binary_tournament,random,127,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
128,937.58,2026-06-02 21:25:52.316077,2026-06-02 21:25:54.162611,0 days 00:00:01.846534,OXCrossover,0.75,0.20,SwapMutation,0.01,binary_tournament,random,128,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
129,1240.00,2026-06-02 21:25:54.162927,2026-06-02 21:25:56.019245,0 days 00:00:01.856318,CXCrossover,0.80,0.10,SwapMutation,0.01,binary_tournament,random,129,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
130,1124.25,2026-06-02 21:25:56.019964,2026-06-02 21:26:00.784534,0 days 00:00:04.764570,CXCrossover,0.80,0.10,InsertMutation,0.10,binary_tournament,bellman_split,130,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
131,1033.50,2026-06-02 21:26:00.784850,2026-06-02 21:26:02.824112,0 days 00:00:02.039262,CXCrossover,0.85,0.20,InsertMutation,0.10,binary_tournament,random,131,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
132,1231.32,2026-06-02 21:26:02.824694,2026-06-02 21:26:04.811149,0 days 00:00:01.986455,CXCrossover,0.90,0.20,SwapMutation,0.01,binary_tournament,random,132,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
133,965.08,2026-06-02 21:26:04.811456,2026-06-02 21:26:19.930183,0 days 00:00:15.118727,CXCrossover,0.90,0.20,InsertMutation,0.05,roulette_wheel,bellman_split,133,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
134,1091.81,2026-06-02 21:26:19.930497,2026-06-02 21:26:31.811896,0 days 00:00:11.881399,PMXCrossover,0.85,0.20,SwapMutation,0.01,roulette_wheel,random,134,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
135,1138.13,2026-06-02 21:26:31.812194,2026-06-02 21:26:33.974825,0 days 00:00:02.162631,CXCrossover,0.90,0.10,SwapMutation,0.10,binary_tournament,random,135,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
136,817.06,2026-06-02 21:26:33.975360,2026-06-02 21:26:40.543920,0 days 00:00:06.568560,OXCrossover,0.90,0.20,InsertMutation,0.05,binary_tournament,bellman_split,136,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
137,976.16,2026-06-02 21:26:40.544242,2026-06-02 21:26:54.229441,0 days 00:00:13.685199,PMXCrossover,0.90,0.10,SwapMutation,0.05,roulette_wheel,random,137,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
138,1165.98,2026-06-02 21:26:54.229805,2026-06-02 21:26:56.050842,0 days 00:00:01.821037,CXCrossover,0.75,0.10,InsertMutation,0.05,binary_tournament,random,138,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
139,898.01,2026-06-02 21:26:56.051169,2026-06-02 21:27:12.401646,0 days 00:00:16.350477,CXCrossover,0.90,0.10,InsertMutation,0.10,roulette_wheel,bellman_split,139,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
