number,value,datetime_start,datetime_complete,duration,params_crossover_name,params_crossover_probability,params_elitism_rate,params_mutation_name,params_mutation_probability,params_selection_type,params_vehicle_construction,system_attrs_grid_id,system_attrs_search_space,state
326,25891.99,2026-06-03 05:03:32.640720,2026-06-03 05:03:39.271522,0 days 00:00:06.630802,PMXCrossover,0.85,0.20,SwapMutation,0.05,binary_tournament,random,326,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
327,25541.19,2026-06-03 05:03:39.271814,2026-06-03 05:04:19.689667,0 days 00:00:40.417853,OXCrossover,0.90,0.10,SwapMutation,0.05,roulette_wheel,random,327,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
328,29587.59,2026-06-03 05:04:19.689986,2026-06-03 05:04:54.982992,0 days 00:00:35.293006,CXCrossover,0.80,0.10,SwapMutation,0.01,roulette_wheel,random,328,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
329,23384.94,2026-06-03 05:04:54.983292,2026-06-03 05:05:41.377310,0 days 00:00:46.394018,OXCrossover,0.85,0.20,SwapMutation,0.01,binary_tournament,bellman_split,329,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
330,29836.98,2026-06-03 05:05:41.377634,2026-06-03 05:06:17.268375,0 days 00:00:35.890741,CXCrossover,0.90,0.10,InsertMutation,0.01,roulette_wheel,random,330,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
331,26203.61,2026-06-03 05:06:17.268693,2026-06-03 05:07:43.280311,0 days 00:01:26.011618,OXCrossover,0.90,0.10,SwapMutation,0.05,roulette_wheel,bellman_split,331,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
332,25407.97,2026-06-03 05:07:43.280628,2026-06-03 05:08:57.969978,0 days 00:01:14.689350,OXCrossover,0.80,0.20,InsertMutation,0.10,roulette_wheel,bellman_split,332,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
333,26964.96,2026-06-03 05:08:57.970271,2026-06-03 05:10:08.469010,0 days 00:01:10.498739,CXCrossover,0.80,0.10,SwapMutation,0.01,roulette_wheel,bellman_split,333,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
334,28710.01,2026-06-03 05:10:08.469331,2026-06-03 05:10:16.629032,0 days 00:00:08.159701,CXCrossover,0.75,0.20,SwapMutation,0.05,binary_tournament,random,334,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
335,24194.54,2026-06-03 05:10:16.629328,2026-06-03 05:11:00.291942,0 days 00:00:43.662614,PMXCrossover,0.85,0.20,SwapMutation,0.01,binary_tournament,bellman_split,335,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
336,26388.36,2026-06-03 05:11:00.292240,2026-06-03 05:11:37.739018,0 days 00:00:37.446778,PMXCrossover,0.75,0.20,InsertMutation,0.10,binary_tournament,bellman_split,336,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
337,27184.82,2026-06-03 05:11:37.739340,2026-06-03 05:11:43.997455,0 days 00:00:06.258115,PMXCrossover,0.80,0.20,SwapMutation,0.05,binary_tournament,random,337,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
338,29489.26,2026-06-03 05:11:43.997795,2026-06-03 05:12:19.578479,0 days 00:00:35.580684,CXCrossover,0.85,0.10,InsertMutation,0.01,roulette_wheel,random,338,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
339,25915.50,2026-06-03 05:12:19.578776,2026-06-03 05:12:26.767713,0 days 00:00:07.188937,PMXCrossover,0.75,0.20,SwapMutation,0.10,binary_tournament,random,339,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
340,25920.96,2026-06-03 05:12:26.768012,2026-06-03 05:13:06.265159,0 days 00:00:39.497147,PMXCrossover,0.80,0.10,SwapMutation,0.01,binary_tournament,bellman_split,340,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
341,27852.99,2026-06-03 05:13:06.265491,2026-06-03 05:14:22.448244,0 days 00:01:16.182753,CXCrossover,0.75,0.10,InsertMutation,0.05,roulette_wheel,bellman_split,341,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
342,27111.92,2026-06-03 05:14:22.448537,2026-06-03 05:15:09.080707,0 days 00:00:46.632170,OXCrossover,0.75,0.10,SwapMutation,0.10,roulette_wheel,random,342,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
343,24907.96,2026-06-03 05:15:09.080983,2026-06-03 05:15:20.917114,0 days 00:00:11.836131,OXCrossover,0.90,0.20,InsertMutation,0.01,binary_tournament,random,343,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
344,23653.52,2026-06-03 05:15:20.917438,2026-06-03 05:16:01.259400,0 days 00:00:40.341962,OXCrossover,0.75,0.10,SwapMutation,0.05,binary_tournament,bellman_split,344,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
345,27256.10,2026-06-03 05:16:01.259722,2026-06-03 05:17:13.684310,0 days 00:01:12.424588,CXCrossover,0.90,0.20,SwapMutation,0.05,roulette_wheel,bellman_split,345,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
346,30164.99,2026-06-03 05:17:13.684633,2026-06-03 05:17:45.618334,0 days 00:00:31.933701,CXCrossover,0.75,0.20,InsertMutation,0.01,roulette_wheel,random,346,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
347,30137.21,2026-06-03 05:17:45.618676,2026-06-03 05:18:21.270887,0 days 00:00:35.652211,CXCrossover,0.85,0.10,SwapMutation,0.01,roulette_wheel,random,347,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
348,29318.15,2026-06-03 05:18:21.271182,2026-06-03 05:19:05.282750,0 days 00:00:44.011568,CXCrossover,0.85,0.10,InsertMutation,0.10,binary_tournament,bellman_split,348,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
349,25431.27,2026-06-03 05:19:05.283077,2026-06-03 05:19:45.419434,0 days 00:00:40.136357,PMXCrossover,0.80,0.20,InsertMutation,0.01,binary_tournament,bellman_split,349,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
350,28139.30,2026-06-03 05:19:45.419719,2026-06-03 05:20:57.563996,0 days 00:01:12.144277,CXCrossover,0.85,0.10,InsertMutation,0.05,roulette_wheel,bellman_split,350,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
351,26068.25,2026-06-03 05:20:57.564317,2026-06-03 05:22:00.923966,0 days 00:01:03.359649,PMXCrossover,0.75,0.20,InsertMutation,0.10,roulette_wheel,bellman_split,351,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
